App,Realtime_Rating,Realtime_Reviews,Realtime_Price
Subway Surfers,4.65,3476818,0.0
Google News,4.57,226421,0.0
imo free video calls and chat,3.82,317,0.0
UC Browser - Fast Download Private & Secure,4.01,357,0.0
Candy Crush Saga,4.71,3735402,0.0
Temple Run 2,4.5,484532,0.0
Pou,4.35,3753,1.99
SHAREit - Transfer & Share,4.59,145527,0.0
Dropbox,4.8,684118,0.0
Samsung Health,4.65,34216,0.0
OfficeSuite : Free Office + PDF Editor,4.77,14123,0.0
imo beta free calls and text,4.47,369759,0.0
Talking Angela,4.36,354376,0.0
IMDb Movies & TV,4.79,540682,0.0
Hitman Sniper,4.76,11452,1.99
Card Wars - Adventure Time,4.75,30750,0.0
Facetune - For Free,4.62,346201,0.0
Beautiful Widgets Pro,4.74,106302,0.0
HD Widgets,4.57,355,0.0
Cut the Rope GOLD,4.85,1863,1.99
True Skate,3.82,8684,1.99
Five Nights at Freddy's,4.67,22071,2.99
Grand Theft Auto: San Andreas,3.75,10010,0.0
DraStic DS Emulator,4.79,26088,0.0
Bloons TD 5,4.82,96222,2.99
Stickman Legends: Shadow Wars,4.7,6183,0.0
Where's My Water?,4.24,11510,0.0
Fruit Ninja Classic,4.65,21501,0.0
Toca Life: City,4.26,710362,0.0
Assassin's Creed Identity,4.74,78843,0.0
Five Nights at Freddy's 2,4.63,11336,2.99
Hitman GO,4.7,2059,4.99
NBA JAM by EA SPORTS™,4.76,1589898,0.0
Farming Simulator 16,4.22,4086,0.0
ES File Explorer/Manager PRO,4.61,14461,0.0
Tiny Scanner Pro: PDF Doc Scan,4.82,160206,0.0
Toca Life: Hospital,4.26,710362,0.0
Meme Generator,4.74,161492,0.0
The Game of Life,4.52,31654,4.99
Clue,4.76,380728,0.0
The Room: Old Sins,4.94,34918,4.99
The Escapists,4.41,3302,4.99
Farming Simulator 18,4.27,2316,0.0
RollerCoaster Tycoon® Classic,4.25,3157,5.99
Call of Duty:Black Ops Zombies,4.67,57772,0.0
Monument Valley 2,4.57,9080,3.99
Monash Uni Low FODMAP Diet,4.28,2448,7.99
